Domain	Filename	Entity	Linkable	Split	Split Terms	Wiki IDs
Astronomy	S0019103512003995.ann	the escape	No			
Astronomy	S0019103513005058.ann	a characteristic depth of ∼2m		Yes	depth,m	https://en.wikipedia.org/wiki/Vertical_position,NOUN_8121_0_1;https://en.wikipedia.org/wiki/Metre,SYMBOL_8697_1_1
Astronomy	S0019103512004009.ann	The composition	No			
Astronomy	S0032063312000487.ann	the growth	No			
Astronomy	S0019103511004994.ann	the Electron Spectrometer ELS		No	Electron Spectrometer ELS	https://en.wikipedia.org/wiki/Electron_spectrometer,
Astronomy	S0019103512003533.ann	H3+ emissions		Yes	H3+,emissions	https://en.wikipedia.org/wiki/Trihydrogen_cation,;,NOUN_186221_0_1
Astronomy	S0019103512003995.ann	ionization state		No		
Astronomy	S0019103513005058.ann	impact perturbations	No			
Astronomy	S0019103512001388.ann	the interaction	No			
Astronomy	S0019103512002801.ann	a hybrid simulation code		Yes	hybrid,simulation code	,NOUN_37162_0_2;https://en.wikipedia.org/wiki/Simulation_software,
Astronomy	S0019103512003995.ann,S0019103513005058.ann	the atmosphere		No		https://en.wikipedia.org/wiki/Atmosphere,NOUN_4724_0_1
Astronomy	S0032063312000487.ann	the dominant wavelength		No		https://en.wikipedia.org/wiki/Dominant_wavelength,
Astronomy	S0032063312003054.ann	MEX ASPERA-3		Yes	MEX,ASPERA-3	https://en.wikipedia.org/wiki/Mars_Express,;,
Astronomy	S0019103513005058.ann	far smaller amount of ozone		No	ozone	https://en.wikipedia.org/wiki/Ozone,NOUN_81444_0_1
Astronomy	S0019103511004994.ann	MIMI/LEMMS data		No	MIMI/LEMMS	,
Astronomy	S0032063312002437.ann	severely inhibited	No			
Astronomy	S0032063312003054.ann	classify	No			
Astronomy	S0019103511004994.ann	Saturn's radiation belts		Yes	Saturn,radiation belts	https://en.wikipedia.org/wiki/Saturn,PROPER_NOUN_39728_0_1;,NOUN_4044302_0_1
Astronomy	S0019103512003995.ann	Heavy ions		No		,NOUN_1825561_0_1
Astronomy	S0032063312000487.ann	Surface waves on a planetary magnetopause		Yes	Surface waves,planetary magnetopause	https://en.wikipedia.org/wiki/Surface_wave,;https://en.wikipedia.org/wiki/Magnetopause,
Astronomy	S0019103513005058.ann	nitrogen oxyanions		Yes	nitrogen,oxyanions	https://en.wikipedia.org/wiki/Nitrogen,NOUN_19623_0_1;https://en.wikipedia.org/wiki/Oxyanion,NOUN_81714_0_1
Astronomy	S0032063312003054.ann	Unaccelerated electrons		No	electrons	https://en.wikipedia.org/wiki/Electron,NOUN_8548_0_1
Astronomy	S0032063312000487.ann	∼1 RS at both dawn and dusk		Yes	RS,dawn,dusk	https://en.wikipedia.org/wiki/Solar_radius,;https://en.wikipedia.org/wiki/Dawn,NOUN_28182_1_1;https://en.wikipedia.org/wiki/Dusk,NOUN_68872_0_1
Astronomy	S0032063312003054.ann	local ionospheric electrons		Yes	ionospheric,electrons	https://en.wikipedia.org/wiki/Ionosphere,ADJECTIVE_300163_0_1;https://en.wikipedia.org/wiki/Electron,NOUN_8548_0_1
Astronomy	S0032063312003054.ann	Heavy-ion flow		Yes	Heavy-ion,flow	,;https://en.wikipedia.org/wiki/Fluid_dynamics,
Astronomy	S0032063312000487.ann	tailward propagating surface waves		No	surface waves	https://en.wikipedia.org/wiki/Surface_wave,
Astronomy	S0019103512003995.ann	the mean temperature		Yes	mean,temperature	https://en.wikipedia.org/wiki/Mean,NOUN_1038497_4_5;https://en.wikipedia.org/wiki/Temperature,NOUN_4531_0_3
Astronomy	S0019103512003533.ann	magnetospheric energetic electron precipitation		Yes	magnetospheric,energetic electron precipitation	https://en.wikipedia.org/wiki/Magnetosphere,ADJECTIVE_850227_0_1;https://en.wikipedia.org/wiki/Electron_precipitation,
Astronomy	S0019103513005058.ann	NASA's Phoenix Lander		Yes	NASA,Phoenix Lander	https://en.wikipedia.org/wiki/NASA,PROPER_NOUN_1890_0_1;https://en.wikipedia.org/wiki/Phoenix_(spacecraft),
Astronomy	S0032063313003218.ann	the compression scenario	No			
Astronomy	S0019103511004994.ann	flew	No			
Astronomy	S0019103512002801.ann	unique features	No			
Astronomy	S0019103512003533.ann	magnetospheric plasma		Yes	magnetospheric,plasma	https://en.wikipedia.org/wiki/Magnetosphere,ADJECTIVE_850227_0_1;https://en.wikipedia.org/wiki/Plasma_(physics),NOUN_8397_0_1
Astronomy	S0019103512004009.ann	the photochemistry		No		https://en.wikipedia.org/wiki/Photochemistry,NOUN_332505_0_1
Astronomy	S0032063312003054.ann	electron precipitation signature		No	electron precipitation	https://en.wikipedia.org/wiki/Electron_precipitation,
Astronomy	S0032063312002437.ann	This flow	No			
Astronomy	S0019103512002801.ann	a density depletion		Yes	density,depletion	https://en.wikipedia.org/wiki/Density,NOUN_29746_0_1;,NOUN_291233_0_1
Astronomy	S0019103512003533.ann	magnetospheric energy deposition		Yes	magnetospheric,energy,deposition	https://en.wikipedia.org/wiki/Magnetosphere,;https://en.wikipedia.org/wiki/Energy,ADJECTIVE_850227_0_1;,NOUN_231108_0_2
Astronomy	S0032063312002437.ann	the noon-midnight		Yes	noon,midnight	https://en.wikipedia.org/wiki/Noon,NOUN_3764_0_1;https://en.wikipedia.org/wiki/Midnight,NOUN_3750_0_1
Astronomy	S0032063312000487.ann	wave period		No		https://en.wikipedia.org/wiki/Frequency,
Astronomy	S0019103511004994.ann	the magnetic field components		Yes	magnetic field	https://en.wikipedia.org/wiki/Magnetic_field,NOUN_64430_0_1
Astronomy	S0032063312003054.ann	another region of ionosphere, solar wind or tail		Yes	ionosphere,soil wind,tail	https://en.wikipedia.org/wiki/Ionosphere,NOUN_292169_0_1;https://en.wikipedia.org/wiki/Solar_wind,;https://en.wikipedia.org/wiki/Comet_tail,NOUN_8415_0_7
Astronomy	S0032063313003218.ann	increase	No			
Astronomy	S0019103512004009.ann	the composition, temperature and density profiles	No			
Astronomy	S0019103511004994.ann	as low as 25km		No	km	https://en.wikipedia.org/wiki/Kilometre,NOUN_29542_0_1
Astronomy	S0019103511004994.ann	the south polar plume		Yes	south,polar,plume	https://en.wikipedia.org/wiki/South,ADJECTIVE_4412_1_3;https://en.wikipedia.org/wiki/Geographical_pole,ADJECTIVE_202243_0_3;,NOUN_90156_0_5
Astronomy	S0032063312002437.ann	transports	No			
Astronomy	S0019103512003533.ann	sub-corotation		No	corotation	https://en.wikipedia.org/wiki/Corotation_electric_field,NOUN_1920273_0_1
Astronomy	S0019103512002801.ann	The association	No			
Astronomy	S0019103513005058.ann	orders of magnitude		No	orders of magnitude	https://en.wikipedia.org/wiki/Order_of_magnitude,NOUN_493637_0_1
Astronomy	S0019103513005058.ann	the martian atmosphere		No	martian atmosphere	https://en.wikipedia.org/wiki/Atmosphere_of_Mars,
Astronomy	S0019103512001388.ann	the first	No			
Astronomy	S0032063312000487.ann	growth	No			
Biology	S1873506113001116.ann	SSEA4		No	SSEA4	
Biology	S2213671113001306.ann	xenograft survival		No	xenograft	https://en.wikipedia.org/wiki/Xenotransplantation,
Biology	S2213671113000672.ann	TAU proteolysis		Yes	TAU,proteolysis	https://en.wikipedia.org/wiki/Tau_protein,;https://en.wikipedia.org/wiki/Proteolysis,NOUN_319684_0_1
Biology	S1873506114000075.ann	several problems	No			
Biology	S2213671113000921.ann	this population	No			
Biology	S2213671113000738.ann	iPSC-derived autografts		Yes	iPSC,autografts	https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,NOUN_2786150_0_1;https://en.wikipedia.org/wiki/Autotransplantation,NOUN_504105_0_1
Biology	S2211124713006475.ann,S2213671113000908.ann	the development	No			
Biology	S1873506113001116.ann	pluripotent		No		https://en.wikipedia.org/wiki/Cell_potency#Pluripotency,ADJECTIVE_291797_0_1
Biology	S1873506114000075.ann	the relevant processes	No			
Biology	S2213671113000921.ann	a human system		No	human	https://en.wikipedia.org/wiki/Human,ADJECTIVE_6715_0_1
Biology	S2211124712002884.ann	inducers		No		https://en.wikipedia.org/wiki/Inducer,NOUN_558874_0_2
Biology	S2213671113000672.ann	pathological TAU protein		Yes	pathological,TAU protein	https://en.wikipedia.org/wiki/Pathology,ADJECTIVE_192015_0_2;https://en.wikipedia.org/wiki/Tau_protein,
Biology	S2213671113000908.ann	clinically relevant cells		No	cells	https://en.wikipedia.org/wiki/Cell_(biology),NOUN_7398_0_11
Biology	S2211124713006475.ann	in vitro and in vivo		Yes	in vitro,in vivo	https://en.wikipedia.org/wiki/In_vitro,ADJECTIVE_66823_0_1;https://en.wikipedia.org/wiki/In_vivo,ADJECTIVE_66820_0_1
Biology	S1873506114000075.ann	induced pluripotent stem (iPS) cells		No		https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,
Biology	S2211124712002884.ann	human postmitotic neurons		Yes	human,postmitotic,neurons	https://en.wikipedia.org/wiki/Human,ADJECTIVE_6715_0_1;https://en.wikipedia.org/wiki/G0_phase,ADJECTIVE_1367864_0_1;https://en.wikipedia.org/wiki/Neuron,NOUN_60662_0_1
Biology	S1873506113001116.ann	the quantity and quality	No			
Biology	S1873506113001116.ann	a xeno-free protocol		Yes	xeno-free,protocol	,;https://en.wikipedia.org/wiki/Protocol_(science),NOUN_53279_0_6
Biology	S2213671113000921.ann	multiple developmental stages	No			
Biology	S2211124712002884.ann	PGRN-dependent pathogenic mechanisms		Yes	PGRN,pathogenic	https://en.wikipedia.org/wiki/Granulin,;https://en.wikipedia.org/wiki/Pathogen,ADJECTIVE_64328_0_1
Biology	S2213671113001306.ann	the retina		No	retina	https://en.wikipedia.org/wiki/Retina,NOUN_74909_0_1
Biology	S2213671113000908.ann	the production	No			
Biology	S2211124713006475.ann	triggers	No			
Biology	S2213671113000738.ann	the immune response		No	immune response	https://en.wikipedia.org/wiki/Immune_response,NOUN_249744_0_1
Biology	S2213671113000908.ann	hPSC lines		No	hPSC lines	https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,
Biology	S2213671113000908.ann	refractory to endodermal differentiation		Yes	refractory,endodermal	,ADJECTIVE_179537_0_4;https://en.wikipedia.org/wiki/Endoderm,ADJECTIVE_1210465_0_1
Biology	S1873506114000075.ann	synthesized	No			
Biology	S2211124713006475.ann	sensory and endocrine organ development		Yes	sensory,endocrine organ	https://en.wikipedia.org/wiki/Sensory_nervous_system,;https://en.wikipedia.org/wiki/Endocrine_system,
Biology	S2213671113000908.ann	their differentiation potential	No			
Biology	S2213671113000738.ann	a minimal immune response		No	immune response	https://en.wikipedia.org/wiki/Immune_response,NOUN_249744_0_1
Biology	S1873506113001116.ann	completely defined xeno-free conditions		No	xeno-free	
Biology	S2211124712002884.ann	the levels		No	levels	,NOUN_56157_1_3
Biology	S2211124712002884.ann	multiple induced pluripotent stem cell lines		No	induced pluripotent stem cell lines	https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,
Biology	S2211124713006475.ann	specific placode derivatives		Yes	placode,derivatives	https://en.wikipedia.org/wiki/Neurogenic_placodes,NOUN_520446_0_1;,ADJECTIVE_3245_0_1
Biology	S016816561300552X.ann	compare	No			
Biology	S1873506113001116.ann	cultured		No		https://en.wikipedia.org/wiki/Cell_culture,ADJECTIVE_282637_0_2
Biology	S1873506113001116.ann	in vitro and in vivo assays		Yes	in vitro,in vivo,assays	https://en.wikipedia.org/wiki/In_vitro,ADJECTIVE_66823_0_1;https://en.wikipedia.org/wiki/In_vivo,ADJECTIVE_66820_0_1;https://en.wikipedia.org/wiki/Assay,NOUN_59970_0_1
Biology	S1873506113001116.ann	Large-scale production		No		https://en.wikipedia.org/wiki/Mass_production,
Biology	S2211124713006475.ann	Concomitant inhibition		No	inhibition	,NOUN_220258_0_1
Biology	S2211124712002884.ann,S2213671113000738.ann	iPSCs		No		https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,NOUN_2786150_0_1
Biology	S2213671113000921.ann	isolate		No		https://en.wikipedia.org/wiki/Strain_(biology),NOUN_69601_1_1
Biology	S2211124712002884.ann	rescued	No			
Biology	S016816561300552X.ann	the CompacT SelecT automation platform		No		
Biology	S016816561300552X.ann	the outcomes	No			
Biology	S2213671113000908.ann	Human pluripotent stem cells (hPSCs)		No		https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,
Biology	S2213671113000921.ann	undifferentiated human pluripotent stem cells (hPSCs), neural progenitor cells (NPCs), and anterior foregut endoderm (AFE)				
Biology	S2211124713006475.ann	embryonic structures		No		https://en.wikipedia.org/wiki/Embryology,
Biology	S2211124713006475.ann	placode-derived tissues		Yes	placode,tissues	https://en.wikipedia.org/wiki/Neurogenic_placodes,NOUN_520446_0_1;https://en.wikipedia.org/wiki/Tissue_(biology),NOUN_8603_0_5
Biology	S2213671113000908.ann	pluripotent lines		No		https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,
Biology	S2213671113001288.ann	the stem cell field		Yes	stem cell, field	https://en.wikipedia.org/wiki/Stem_cell,NOUN_7399_0_1;https://en.wikipedia.org/wiki/Discipline_(academia),
Biology	S2213671113001306.ann	PET carriers		No	PET	https://en.wikipedia.org/wiki/Polyethylene_terephthalate,
Biology	S1873506114000075.ann	most transthyretin (TTR) in serum		Yes	transthyretin,TTR,serum	https://en.wikipedia.org/wiki/Transthyretin,NOUN_620963_0_1;https://en.wikipedia.org/wiki/Transthyretin,;https://en.wikipedia.org/wiki/Serum_(blood),NOUN_60897_0_1
Biology	S2213671113000921.ann	the identification	No			
Biology	S1873506114000075.ann	halt	No			
Biology	S2213671113000921.ann	characterize	No			
Biology	S2213671113000672.ann	decreases	No			
Biology	S2213671113000738.ann	the immunogenicity		No	immunogenicity	https://en.wikipedia.org/wiki/Immunogenicity,NOUN_262295_0_1
Biology	S2213671113000672.ann	restored	No			
Biology	S1873506113001116.ann	NANOG		No		https://en.wikipedia.org/wiki/Homeobox_protein_NANOG,
Biology	S2213671113000738.ann	the autologous transplantation		No		https://en.wikipedia.org/wiki/Autologous_stem-cell_transplantation,
Biology	S2213671113001306.ann	the implant		No	implant	https://en.wikipedia.org/wiki/Retinal_implant,
Biology	S2213671113000738.ann	allografts		No	allografts	https://en.wikipedia.org/wiki/Allotransplantation,NOUN_531669_0_1
Biology	S016816561300552X.ann	transferred	No			
Biology	S1873506114000075.ann	the detailed pathogenesis		No	pathogenesis	https://en.wikipedia.org/wiki/Pathogenesis,NOUN_210580_0_1
Biology	S2213671113000672.ann	mechanistic study	No			
Biology	S2213671113000738.ann	iPSC-derived neurons		Yes	iPSC,neurons	https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,NOUN_2786150_0_1;https://en.wikipedia.org/wiki/Neuron,NOUN_60662_0_1
Biology	S2211124713006475.ann,S2213671113000908.ann	regenerative medicine		No		https://en.wikipedia.org/wiki/Regenerative_medicine,NOUN_1671778_0_1
Biology	S2213671113000738.ann	immunosuppression		No		https://en.wikipedia.org/wiki/Immunosuppression,NOUN_249742_0_1
Biology	S2213671113000908.ann	multipotent endodermal cells		Yes	multipotent,endodermal cells	https://en.wikipedia.org/wiki/Cell_potency#Multipotency,ADJECTIVE_1055161_0_2;https://en.wikipedia.org/wiki/Endodermis,
Biology	S2213671113000908.ann	developed	No			
Biology	S2211124712002884.ann	the serine/threonine kinase S6K2		Yes	serine/threonine kinase,S6K2	https://en.wikipedia.org/wiki/Serine%2Fthreonine-specific_protein_kinase,;https://en.wikipedia.org/wiki/Ribosomal_s6_kinase,
Biology	S1873506114000075.ann,S2213671113000908.ann	differentiate	No			
Biology	S2211124712002884.ann,S2213671113000672.ann,S2213671113000921.ann	generated	No			
Biology	S2213671113000738.ann	the primate brain		Yes	primate,brain	https://en.wikipedia.org/wiki/Primate,NOUN_53277_0_1;https://en.wikipedia.org/wiki/Brain,NOUN_7891_0_1
Biology	S2213671113000908.ann	differentiation variability	No			
Biology	S2213671113001306.ann	the retinal pigment epithelium (RPE)		Yes	retinal pigment epithelium,RPE	https://en.wikipedia.org/wiki/Retinal_pigment_epithelium,;https://en.wikipedia.org/wiki/Retinal_pigment_epithelium,
Biology	S2213671113001306.ann	the fetal or adult transplant		Yes	fetal,adult,transplant	https://en.wikipedia.org/wiki/Fetus,ADJECTIVE_60313_0_1;https://en.wikipedia.org/wiki/Adult,NOUN_9971_0_1;,NOUN_62926_1_4
Biology	S2211124712002884.ann,S2213671113000672.ann	A human neuron model		Yes	human,neuronal model	https://en.wikipedia.org/wiki/Human,ADJECTIVE_6715_0_1;https://en.wikipedia.org/wiki/Biological_neuron_model,
Biology	S2211124712002884.ann	progranulin (PGRN) haploinsufficiency		Yes	progranulin,PGRN,haploinsufficiency	https://en.wikipedia.org/wiki/Granulin#Progranulin,NOUN_4933266_0_1;https://en.wikipedia.org/wiki/Granulin#Progranulin,;https://en.wikipedia.org/wiki/Haploinsufficiency,NOUN_543754_0_1
Biology	S2211124712002884.ann,S2213671113000672.ann	a patient		No		https://en.wikipedia.org/wiki/Patient,NOUN_44371_1_1
Biology	S2213671113000908.ann	universal protocols	No			
Biology	S2213671113001306.ann	Adult hRPESC-derived RPE		Yes	Adult,h,RPE,SC,RPE	https://en.wikipedia.org/wiki/Adult,NOUN_9971_0_1;https://en.wikipedia.org/wiki/Human,;https://en.wikipedia.org/wiki/Retinal_pigment_epithelium,;https://en.wikipedia.org/wiki/Stem_cell,NOUN_5240_1_14;https://en.wikipedia.org/wiki/Retinal_pigment_epithelium,
Biology	S2213671113000738.ann	the brains of humans or nonhuman primates		Yes	brain,humans,nonhuman primates	https://en.wikipedia.org/wiki/Brain,NOUN_7891_0_1;https://en.wikipedia.org/wiki/Human,ADJECTIVE_6715_0_1;https://en.wikipedia.org/wiki/Primate,
Biology	S2213671113000672.ann	cell-based therapies		No		https://en.wikipedia.org/wiki/Cell_therapy,
Biology	S2213671113000921.ann	its expression	No			
Biology	S2213671113000738.ann	their derivatives	No			
Biology	S016816561300552X.ann	human induced pluripotent stem cell lines		Yes	human,induced pluripotent stem cell lines	https://en.wikipedia.org/wiki/Human,ADJECTIVE_6715_0_1;https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,
Biology	S2213671113001288.ann	Twelve	No			
Biology	S2211124713006475.ann	sensory and endocrine organs		Yes	sensory,endocrine organs	https://en.wikipedia.org/wiki/Sensory_nervous_system,;https://en.wikipedia.org/wiki/Endocrine_system#Endocrine_organs_and_known_secreted_hormones,
Biology	S2213671113000921.ann	this hPSC-derived cell population		Yes	h,PSC,cell population	https://en.wikipedia.org/wiki/Human,;https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,;https://en.wikipedia.org/wiki/Cell_(biology),
Biology	S2213671113000921.ann	neural progenitor cells		Yes	neural,progenitor cells	https://en.wikipedia.org/wiki/Nervous_system,ADJECTIVE_60661_0_1;https://en.wikipedia.org/wiki/Progenitor_cell,NOUN_6646298_0_1
Biology	S1873506113001116.ann	the bioprocess		No	bioprocess	https://en.wikipedia.org/wiki/Bioprocess,NOUN_2153016_0_1
Biology	S016816561300552X.ann	Cellular morphology		Yes	Cellular,morphology	,ADJECTIVE_100760_0_1;https://en.wikipedia.org/wiki/Morphology_(biology),NOUN_7150_0_2
Biology	S2213671113001306.ann	adult hRPESC-derived RPE		Yes	adult,h,RPE,SC,RPE	https://en.wikipedia.org/wiki/Adult,NOUN_9971_0_1;https://en.wikipedia.org/wiki/Human,;https://en.wikipedia.org/wiki/Retinal_pigment_epithelium,;https://en.wikipedia.org/wiki/Stem_cell,NOUN_5240_1_14;https://en.wikipedia.org/wiki/Retinal_pigment_epithelium,
Biology	S1873506113001116.ann	a scalable bioprocess		No	bioprocess	https://en.wikipedia.org/wiki/Bioprocess,NOUN_2153016_0_1
Biology	S1873506113001116.ann	Serial passaging		No		https://en.wikipedia.org/wiki/Serial_passage,
Biology	S2211124713006475.ann	transplantation		No		
Biology	S2213671113001288.ann	aberrantly hypermethylated signature CG sites		Yes	hypermethylated,CG sites	https://en.wikipedia.org/wiki/Methylation,ADJECTIVE_1448808_0_1;https://en.wikipedia.org/wiki/CpG_site,
Biology	S2211124713006475.ann	the efficient derivation		No		
Biology	S2213671113001306.ann	pluripotent stem cell (iPSC)-derived RPE		Yes	pluripotent stem cell,iPSC,RPE	https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,;https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,NOUN_2786150_0_1;https://en.wikipedia.org/wiki/Retinal_pigment_epithelium,
Biology	S2213671113000921.ann	AFE		No	AFE	,
Biology	S1873506113001116.ann	hiPSCs in suspension		Yes	h,iPSCs,suspension	https://en.wikipedia.org/wiki/Human,;https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,NOUN_2786150_0_1;https://en.wikipedia.org/wiki/Cell_suspension,
Biology	S2211124712002884.ann	staurosporine		No		https://en.wikipedia.org/wiki/Staurosporine,NOUN_1448800_0_1
Biology	S2213671113001306.ann	translating	No			
Biology	S2213671113000672.ann	normal neuronal and axonal morphologies		Yes	neuronal,axonal,morphologies	https://en.wikipedia.org/wiki/Neuron,ADJECTIVE_217633_0_1;https://en.wikipedia.org/wiki/Axon,ADJECTIVE_491028_0_1;https://en.wikipedia.org/wiki/Morphology_(biology),NOUN_7150_0_1
Biology	S2211124712002884.ann	the phosphatidylinositol 3-kinase and mitogen-activated protein kinase pathways		Yes	phosphatidylinositol 3-kinase,mitogen-activated protein kinase pathways	https://en.wikipedia.org/wiki/Phosphoinositide_3-kinase,;https://en.wikipedia.org/wiki/MAPK/ERK_pathway,
Biology	S2213671113000908.ann	an infinite source	No			
Biology	S1873506113001116.ann	optimized	No			
Biology	S2213671113000672.ann	Correction	No			
Biology	S2213671113000738.ann	Dopamine neurons		No		https://en.wikipedia.org/wiki/Dopaminergic_pathways,
Biology	S2213671113001288.ann	silencing	No			
Biology	S2211124712002884.ann	cellular stress		No	cellular stress	,
Biology	S2213671113000672.ann	a TAU-A152T mutation		No		
Biology	S2213671113000908.ann	expanded	No			
Biology	S2211124713006475.ann	producing	No			
Biology	S1873506113001116.ann	undifferentiated state markers		Yes	undifferentiated,state markers	,ADJECTIVE_207372_0_2;https://en.wikipedia.org/wiki/Biomarker_(cell),
Biology	S2213671113001306.ann	The xeno-RPE		Yes	xeno,RPE	,;https://en.wikipedia.org/wiki/Retinal_pigment_epithelium,
Biology	S1873506114000075.ann	a Sendai virus vector mixture		Yes	Sendai virus,vector,mixture	https://en.wikipedia.org/wiki/Murine_respirovirus,PROPER_NOUN_328234_0_1;https://en.wikipedia.org/wiki/Viral_vector,NOUN_35189_0_12;https://en.wikipedia.org/wiki/Mixture,NOUN_71543_0_3
Biology	S2213671113000738.ann	the autografts		No		https://en.wikipedia.org/wiki/Autotransplantation,NOUN_504105_0_1
Biology	S2211124713006475.ann	human pluripotent stem cells		Yes	human,pluripotent,stem cells	https://en.wikipedia.org/wiki/Human,ADJECTIVE_6715_0_1;https://en.wikipedia.org/wiki/Pluripotency_(biological_compounds),ADJECTIVE_291797_0_1;https://en.wikipedia.org/wiki/Stem_cell,NOUN_7399_0_1
Biology	S2211124713006475.ann	neural induction		No		https://en.wikipedia.org/wiki/Development_of_the_nervous_system#Neural_induction,
Biology	S2211124713006475.ann	disrupts	No			
Biology	S2211124713006475.ann	Placode-derived trigeminal neurons		Yes	Placode,trigeminal neurons	https://en.wikipedia.org/wiki/Neurogenic_placodes,NOUN_520446_0_1;https://en.wikipedia.org/wiki/Trigeminal_nerve,
Biology	S2213671113000672.ann	The A152T mutation		No		
Biology	S2211124712002884.ann	a systematic screen		Yes	systematic,screen	,ADJECTIVE_184117_0_1;,NOUN_70876_0_13
Biology	S016816561300552X.ann	the three germ layers		No	germ layers	https://en.wikipedia.org/wiki/Germ_layer,NOUN_3525057_0_1
Biology	S2213671113001306.ann	transplanted		No		
Biology	S2211124712002884.ann	The pathogenic mechanisms of frontotemporal dementia (FTD)		Yes	pathogenic,mechanisms,frontotemporal dementia,FTD	https://en.wikipedia.org/wiki/Pathogen,ADJECTIVE_64328_0_1;https://en.wikipedia.org/wiki/Mechanism_(biology),;https://en.wikipedia.org/wiki/Frontotemporal_dementia,;https://en.wikipedia.org/wiki/Frontotemporal_dementia,
Biology	S2211124713006475.ann	anterior pituitary hormone-producing cells		Yes	anterior pituitary,hormone,cells	https://en.wikipedia.org/wiki/Anterior_pituitary,NOUN_4440795_0_1;https://en.wikipedia.org/wiki/Hormone,NOUN_57881_0_1;https://en.wikipedia.org/wiki/Cell_(biology),NOUN_7398_0_11
Biology	S016816561300552X.ann	Cells		No	Cells	https://en.wikipedia.org/wiki/Cell_(biology),NOUN_7398_0_11
Biology	S1873506114000075.ann	FAP-specific iPS cells		Yes	FAP,iPS cells	https://en.wikipedia.org/wiki/Familial_amyloid_polyneuropathy,;https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,
Biology	S2211124713006475.ann	sensory and endocrine disease		Yes	sensory,endocrine disease	,;https://en.wikipedia.org/wiki/Endocrine_disease,
Biology	S2213671113000738.ann	Induced pluripotent stem cells (iPSCs)		No		https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,
Biology	S2211124713006475.ann	Human placode development		Yes	Human,placode,development	https://en.wikipedia.org/wiki/Human,ADJECTIVE_6715_0_1;https://en.wikipedia.org/wiki/Neurogenic_placodes,NOUN_520446_0_1;https://en.wikipedia.org/wiki/Developmental_biology,NOUN_39933_0_2
Biology	S2213671113000921.ann	cells expressing markers		No		https://en.wikipedia.org/wiki/Cluster_of_differentiation,
Biology	S2211124713006475.ann,S2213671113001306.ann	in vitro		No		https://en.wikipedia.org/wiki/In_vitro,ADJECTIVE_66823_0_1
Biology	S2213671113000738.ann	dopaminergic neurons		No		https://en.wikipedia.org/wiki/Dopaminergic_cell_groups,
Biology	S2213671113001306.ann	detected	No			
Biology	S1873506113001116.ann	completely xeno-free condition		No	xeno-free	,
Biology	S2213671113001306.ann	PET		No		https://en.wikipedia.org/wiki/Polyethylene_terephthalate,
Biology	S2213671113000738.ann	a patient's own cells		Yes	patient,cells	https://en.wikipedia.org/wiki/Patient,NOUN_44371_1_1;https://en.wikipedia.org/wiki/Cell_(biology),NOUN_7398_0_11
Biology	S2211124713006475.ann	a powerful experimental platform	No			
Biology	S2213671113000672.ann	two isogenic iPSC lines		Yes	isogenic,iPSC lines	https://en.wikipedia.org/wiki/Isogenic_human_disease_models,;https://en.wikipedia.org/wiki/Induced_pluripotent_stem_cell,
Biology	S2213671113001288.ann	hypermethylation		No		https://en.wikipedia.org/wiki/Methylation,NOUN_214708_0_1
Biology	S1873506114000075.ann,S2213671113000908.ann	pluripotent cells		Yes	pluripotent,cells	https://en.wikipedia.org/wiki/Pluripotency_(biological_compounds),ADJECTIVE_291797_0_1;https://en.wikipedia.org/wiki/Stem_cell,NOUN_7398_0_11
Biology	S2211124713006475.ann	placode fates		Yes	placode,fates	https://en.wikipedia.org/wiki/Neurogenic_placodes,NOUN_520446_0_1;,NOUN_35747_0_2
Biology	S2213671113001288.ann	n = 155	No			
Biology	S2211124712002884.ann	these lines		No	lines	
Biology	S2213671113000908.ann	their capacity	No			
Biology	S2213671113000908.ann	a sustainable source of multipotent endoderm stem cells		Yes	multipotent,endoderm,stem cells	https://en.wikipedia.org/wiki/Cell_potency#Multipotency,ADJECTIVE_1055161_0_2;https://en.wikipedia.org/wiki/Endoderm,NOUN_222899_0_1;https://en.wikipedia.org/wiki/Stem_cell,NOUN_7399_0_1
Biology	S1873506113001116.ann	clinical applications		Yes	clinical,applications	,ADJECTIVE_221149_0_1;,NOUN_43492_0_3
Biology	S2213671113001288.ann	CpG methylation sites		No		https://en.wikipedia.org/wiki/CpG_site,
Biology	S1873506113001116.ann	spinner flasks		No		
